1,MOBILE,Redmi mobile title,Redmi mobile desc,TRUE
1,MOBILE,Realme mobile title,Realme mobile desc,TRUE
2,TELEVISION,LG 32inch title,LG 32inch desc,FALSE
2,FAN,Usha Fan title,Usha Fan desc,TRUE
3,WASHING MACHINE,LG Fast washing machine title,LG Fast washing machine desc,TRUE
3,AIR CONDITIONER,SAMSUNG Ac title,SAMSUNG Ac desc,TRUE
4,EDUCATION,Education book title,Education book desc,TRUE
4,EXAM,Exam book title,Exam book desc,TRUE
5,CRICKET,Cricket bat title,Cricket bat desc,TRUE
5,FOOTBALL,Football ball title,Football ball desc,TRUE
